bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
YK Pathan,Middle,pace,75,48,1,10,9.38,48.0,KKR
LA Dawson,Middle,spin,27,12,1,1,13.5,12.0,
V Nigam,PP,spin,52,24,1,6,13.0,24.0,MI
JD Unadkat,Death,pace,58,24,1,3,14.5,24.0,
LA Dawson,Middle,neutralish,33,18,1,1,11.0,18.0,
Washington Sundar,PP,neutralish,25,18,1,8,8.33,18.0,PBKS
JC Archer,PP,spin,84,48,1,15,10.5,48.0,LSG
A Sheth,PP,neutralish,26,18,1,5,8.67,18.0,DC
Kuldeep Yadav,PP,pace,14,12,1,5,7.0,12.0,SRH
JA Richardson,Death,pace,24,12,1,4,12.0,12.0,
LI Meriwala,Death,pace,40,18,1,3,13.33,18.0,DC
J Suchith,Middle,spin,30,24,1,10,7.5,24.0,
J Suchith,Middle,pace,23,12,1,2,11.5,12.0,
WG Jacks,Middle,neutralish,65,54,1,12,7.22,54.0,LSG
AJ Hosein,Death,spin,10,12,1,9,5.0,12.0,
AD Russell,PP,pace,181,90,1,31,12.07,90.0,DC
VG Arora,Death,pace,82,48,1,9,10.25,48.0,KKR
KV Sharma,Death,spin,30,12,1,1,15.0,12.0,
AD Russell,Middle,spin,44,30,1,8,8.8,30.0,DC
KV Sharma,Middle,spin,37,24,1,3,9.25,24.0,
KV Sharma,PP,spin,25,12,1,2,12.5,12.0,
YS Chahal,Middle,neutralish,179,102,1,24,10.53,102.0,RCB
VR Iyer,PP,neutralish,32,18,1,6,10.67,18.0,SRH
A Nortje,Middle,neutralish,19,18,1,7,6.33,18.0,
AD Russell,Middle,pace,138,90,1,14,9.2,90.0,DC
AD Russell,Middle,neutralish,117,72,1,11,9.75,72.0,DC
JD Unadkat,PP,pace,67,36,1,8,11.17,36.0,
LS Livingstone,Middle,neutralish,34,18,1,4,11.33,18.0,KKR
J Overton,Middle,spin,35,18,1,2,11.67,18.0,
Tanush Kotian,Death,neutralish,34,12,1,3,17.0,12.0,CSK
M Siddharth,PP,neutralish,104,54,1,15,11.56,54.0,CSK
JJ Smit,Middle,neutralish,22,12,1,5,11.0,12.0,PBKS
MJ Owen,Death,spin,66,36,1,7,11.0,36.0,DC
H Ssenyondo,Middle,spin,16,18,1,9,5.33,18.0,LSG
HH Pandya,PP,neutralish,21,12,1,5,10.5,12.0,MI
MJ Santner,Middle,neutralish,8,6,1,3,8.0,6.0,KKR
T Natarajan,PP,spin,124,66,1,20,11.27,66.0,CSK
T Stubbs,Middle,spin,83,36,1,9,13.83,36.0,CSK
Z Khan,Death,pace,47,26,1,5,10.85,26.0,
AR Ramjani,Middle,pace,79,48,1,8,9.88,48.0,PBKS
HV Patel,Death,neutralish,31,22,1,7,8.45,22.0,RR
AR Patel,PP,spin,221,156,1,64,8.5,156.0,CSK
MG Erasmus,Middle,spin,46,48,1,14,5.75,48.0,RCB
K Gowtham,Middle,neutralish,40,24,1,3,10.0,24.0,
K Gowtham,Middle,spin,63,48,1,17,7.88,48.0,
TM Head,PP,neutralish,15,12,1,7,7.5,12.0,GT
HR Shokeen,PP,spin,61,36,1,6,10.17,36.0,RR
MJ Santner,PP,pace,49,24,1,7,12.25,24.0,KKR
MJ Santner,PP,spin,56,30,1,10,11.2,30.0,KKR
Jagjit Singh,Middle,spin,16,6,1,1,16.0,6.0,SRH
MJ Suthar,Middle,spin,81,48,1,8,10.12,48.0,
MJ Suthar,PP,spin,30,18,1,4,10.0,18.0,
JO Holder,Middle,pace,44,24,1,2,11.0,24.0,
H Ssenyondo,Death,spin,5,6,1,3,5.0,6.0,LSG
Gurjapneet Singh,PP,pace,40,18,1,6,13.33,18.0,
Gurjapneet Singh,PP,neutralish,33,18,1,4,11.0,18.0,
AS Roy,PP,neutralish,53,30,1,8,10.6,30.0,
MM Sharma,Middle,pace,14,6,1,2,14.0,6.0,
MM Sharma,Middle,spin,21,12,1,2,10.5,12.0,
A Badoni,Middle,neutralish,40,24,1,3,10.0,24.0,
Jagjit Singh,Death,neutralish,11,6,1,2,11.0,6.0,SRH
JR Hazlewood,PP,spin,75,60,1,20,7.5,60.0,RR
MP Stoinis,Death,spin,53,30,1,4,10.6,30.0,KKR
MP Stoinis,Middle,pace,270,156,1,29,10.38,156.0,KKR
MG Bracewell,PP,neutralish,86,54,1,19,9.56,54.0,
AR Patel,PP,neutralish,118,60,1,22,11.8,60.0,CSK
MG Bracewell,Middle,neutralish,83,48,1,11,10.38,48.0,
MADI Hemantha,Middle,spin,24,18,1,5,8.0,18.0,
TU Deshpande,PP,pace,91,54,1,19,10.11,54.0,MI
Harpreet Brar,Death,pace,93,49,1,8,11.39,49.0,RR
HV Patel,PP,spin,78,48,1,13,9.75,48.0,RR
MA Starc,PP,spin,77,42,1,14,11.0,42.0,KKR
Yudhvir Singh,Middle,pace,79,48,1,13,9.88,48.0,RCB
HV Patel,Middle,neutralish,65,48,1,14,8.12,48.0,RR
K Kartikeya,Middle,neutralish,15,12,1,4,7.5,12.0,GT
MA Wood,PP,pace,11,12,1,5,5.5,12.0,
TU Deshpande,Death,spin,9,6,1,2,9.0,6.0,MI
MA Wood,Middle,spin,20,12,1,1,10.0,12.0,
JA Richardson,Middle,pace,24,12,1,3,12.0,12.0,
JJ Smit,PP,pace,30,18,1,6,10.0,18.0,PBKS
Yuvraj Chaudhary,Middle,spin,48,30,1,7,9.6,30.0,GT
MG Bracewell,Death,spin,28,12,1,3,14.0,12.0,
Zeeshan Ansari,Middle,neutralish,31,18,0,4,10.33,inf,SRH
YS Chahal,Death,pace,70,32,0,3,13.12,inf,RCB
Yuvraj Singh,Middle,pace,47,42,0,12,6.71,inf,CSK
A Kamboj,Death,spin,15,6,0,1,15.0,inf,GT
Azmatullah Omarzai,Middle,neutralish,84,42,0,7,12.0,inf,LSG
A Nortje,PP,neutralish,21,18,0,6,7.0,inf,
A Nagwaswalla,PP,spin,31,18,0,7,10.33,inf,RR
S Lamichhane,Middle,neutralish,8,6,0,1,8.0,inf,DC
SN Thakur,PP,pace,44,30,0,8,8.8,inf,GT
SA Abbott,PP,pace,124,66,0,15,11.27,inf,
Yash Thakur,PP,spin,40,24,0,8,10.0,inf,PBKS
A Nortje,PP,spin,15,6,0,1,15.0,inf,
Yash Thakur,Middle,neutralish,66,42,0,6,9.43,inf,PBKS
A Sheth,Death,pace,7,6,0,2,7.0,inf,DC
SH Johnson,PP,neutralish,32,24,0,7,8.0,inf,GT
Azmatullah Omarzai,Middle,spin,43,24,0,8,10.75,inf,LSG
Ashutosh Sharma,Middle,spin,12,6,0,2,12.0,inf,RCB
A Mishra,Death,neutralish,16,6,0,1,16.0,inf,
Atharva Taide,Middle,neutralish,6,6,0,2,6.0,inf,MI
A Sheth,Middle,neutralish,55,30,0,3,11.0,inf,DC
A Kamboj,PP,spin,38,18,0,4,12.67,inf,GT
Yash Thakur,PP,neutralish,10,6,0,1,10.0,inf,PBKS
SL Malinga,PP,spin,19,12,0,3,9.5,inf,PBKS
Yuvraj Singh,Death,pace,108,36,0,4,18.0,inf,CSK
S Gopal,PP,spin,12,12,0,8,6.0,inf,GT
S Gopal,PP,neutralish,16,12,0,6,8.0,inf,GT
Azmatullah Omarzai,Death,neutralish,24,13,0,3,11.08,inf,LSG
Avesh Khan,PP,spin,106,72,0,23,8.83,inf,GT
Yash Thakur,Middle,spin,17,6,0,0,17.0,inf,PBKS
S Lamichhane,PP,spin,50,24,0,6,12.5,inf,DC
Avesh Khan,Middle,spin,19,12,0,3,9.5,inf,GT
A Nortje,Death,neutralish,55,36,0,6,9.17,inf,
A Nortje,Death,spin,14,9,0,1,9.33,inf,
S Gopal,Middle,neutralish,18,12,0,5,9.0,inf,GT
A Kamboj,PP,pace,87,42,0,15,12.43,inf,GT
S Gopal,Death,spin,33,12,0,3,16.5,inf,GT
A Kamboj,Middle,spin,44,24,0,5,11.0,inf,GT
A Kamboj,Middle,neutralish,10,6,0,0,10.0,inf,GT
Zeeshan Ansari,Death,neutralish,9,6,0,3,9.0,inf,SRH
SL Malinga,Death,spin,9,6,0,2,9.0,inf,PBKS
SM Curran,PP,neutralish,30,18,0,7,10.0,inf,
Ashwani Kumar,Middle,neutralish,35,18,0,1,11.67,inf,RR
Yash Dayal,PP,pace,88,54,0,21,9.78,inf,
YS Chahal,PP,pace,49,24,0,5,12.25,inf,RCB
A Kamboj,PP,neutralish,14,6,0,1,14.0,inf,GT
SN Netravalkar,PP,neutralish,6,6,0,3,6.0,inf,CSK
Yudhvir Singh,PP,neutralish,73,36,0,11,12.17,inf,RCB
S Dube,PP,neutralish,15,18,0,8,5.0,inf,RR
A Mishra,Middle,neutralish,19,18,0,4,6.33,inf,
Atharva Ankolekar,Middle,neutralish,3,6,0,3,3.0,inf,MI
Swapnil Singh,PP,neutralish,23,12,0,4,11.5,inf,CSK
SS Agarwal,Death,spin,16,6,0,1,16.0,inf,DC
TM Head,Middle,spin,43,30,0,5,8.6,inf,GT
Simarjeet Singh,Middle,pace,37,24,0,3,9.25,inf,
Abrar Ahmed,Middle,pace,53,30,0,4,10.6,inf,GT
Sikandar Raza,PP,pace,53,24,0,4,13.25,inf,MI
TM Head,PP,spin,39,24,0,8,9.75,inf,GT
AK Markram,PP,neutralish,17,6,0,1,17.0,inf,DC
Abrar Ahmed,Middle,spin,51,30,0,5,10.2,inf,GT
Abrar Ahmed,PP,spin,9,6,0,3,9.0,inf,GT
Akash Deep,Death,pace,26,17,0,4,9.18,inf,
AK Markram,Middle,pace,10,6,0,0,10.0,inf,DC
Akash Deep,Death,spin,17,6,0,2,17.0,inf,
Sikandar Raza,Death,pace,25,18,0,5,8.33,inf,MI
Sikandar Raza,Death,neutralish,9,6,0,2,9.0,inf,MI
TU Deshpande,Middle,spin,20,12,0,5,10.0,inf,MI
TU Deshpande,PP,spin,6,6,0,3,6.0,inf,MI
Shivank Vashisth,Death,spin,16,6,0,0,16.0,inf,RCB
Shashank Singh,PP,neutralish,48,36,0,14,8.0,inf,PBKS
Shashank Singh,Middle,spin,10,6,0,1,10.0,inf,PBKS
AJ Tye,PP,neutralish,13,6,0,1,13.0,inf,
Akash Deep,PP,neutralish,9,6,0,1,9.0,inf,
Shashank Singh,Death,neutralish,13,6,0,1,13.0,inf,PBKS
Akash Deep,PP,spin,4,6,0,3,4.0,inf,
Sumit Kumar,PP,pace,62,24,0,4,15.5,inf,DC
TM Head,Middle,pace,31,12,0,1,15.5,inf,GT
SS Agarwal,Middle,spin,8,6,0,1,8.0,inf,DC
Abhishek Sharma,PP,spin,112,66,0,19,10.18,inf,MI
Abdul Samad,Death,spin,14,6,0,1,14.0,inf,LSG
Swapnil Singh,PP,pace,44,30,0,10,8.8,inf,CSK
AU Rashid,Middle,spin,31,12,0,0,15.5,inf,
AS Roy,PP,pace,25,18,0,4,8.33,inf,
T Natarajan,Middle,neutralish,114,72,0,12,9.5,inf,CSK
Swapnil Singh,Death,neutralish,17,6,0,1,17.0,inf,CSK
AS Roy,Middle,pace,77,42,0,8,11.0,inf,
AS Roy,Middle,neutralish,21,18,0,4,7.0,inf,
AS Roy,Death,spin,87,42,0,8,12.43,inf,
Abdul Samad,PP,spin,9,6,0,2,9.0,inf,LSG
Suyash Sharma,PP,neutralish,25,18,0,6,8.33,inf,KKR
Suyash Sharma,Middle,neutralish,12,6,0,0,12.0,inf,KKR
AS Roy,Death,pace,10,6,0,3,10.0,inf,
TA Boult,Death,spin,27,11,0,3,14.73,inf,MI
Suyash Sharma,Death,pace,27,18,0,6,9.0,inf,KKR
AR Ramjani,PP,pace,20,12,0,2,10.0,inf,PBKS
Suryansh Shedge,PP,spin,46,30,0,8,9.2,inf,CSK
Abhishek Sharma,PP,neutralish,18,6,0,1,18.0,inf,MI
AM Rahane,PP,pace,14,6,0,1,14.0,inf,MI
TH David,Death,pace,23,6,0,1,23.0,inf,PBKS
Abhishek Sharma,PP,pace,8,6,0,2,8.0,inf,MI
Tilak Varma,Death,neutralish,22,12,0,1,11.0,inf,CSK
Shakib Al Hasan,PP,pace,39,18,0,6,13.0,inf,
Shakib Al Hasan,PP,neutralish,50,30,0,11,10.0,inf,
Tilak Varma,Death,spin,13,12,0,4,6.5,inf,CSK
AU Rashid,PP,spin,28,12,0,4,14.0,inf,
Sanvir Singh,Middle,neutralish,10,6,0,1,10.0,inf,LSG
VR Iyer,Death,pace,25,12,0,2,12.5,inf,SRH
VR Iyer,Middle,neutralish,13,12,0,3,6.5,inf,SRH
VR Iyer,Middle,pace,59,30,0,6,11.8,inf,SRH
VR Iyer,PP,pace,40,18,0,5,13.33,inf,SRH
Sandeep Sharma,PP,neutralish,34,18,0,5,11.33,inf,LSG
Arshad Khan,PP,neutralish,63,36,0,9,10.5,inf,RR
AA Kulkarni,Middle,pace,26,12,0,1,13.0,inf,GT
Sami Sohail,PP,pace,19,12,0,5,9.5,inf,
Ashutosh Aman,Death,spin,17,6,0,0,17.0,inf,
WG Jacks,PP,pace,18,12,0,4,9.0,inf,LSG
SZ Mulani,PP,neutralish,11,6,0,1,11.0,inf,LSG
WL Madsen,PP,neutralish,10,6,0,2,10.0,inf,MI
WL Madsen,PP,spin,31,18,0,6,10.33,inf,MI
Ashutosh Aman,PP,spin,47,36,0,15,7.83,inf,
SZ Mulani,Death,spin,17,12,0,4,8.5,inf,LSG
Ashutosh Sharma,Death,neutralish,19,6,0,1,19.0,inf,RCB
Ashutosh Sharma,Death,spin,7,6,0,0,7.0,inf,RCB
Washington Sundar,Death,pace,53,42,0,6,7.57,inf,PBKS
SS Agarwal,PP,spin,73,54,0,23,8.11,inf,DC
AD Russell,PP,neutralish,44,24,0,5,11.0,inf,DC
Sanvir Singh,PP,pace,6,6,0,3,6.0,inf,LSG
AD Russell,PP,spin,23,12,0,1,11.5,inf,DC
Akash Madhwal,PP,spin,22,12,0,2,11.0,inf,CSK
Akash Madhwal,Death,spin,18,4,0,1,27.0,inf,CSK
Shakib Al Hasan,Middle,pace,11,6,0,0,11.0,inf,
Tilak Varma,Middle,spin,8,6,0,1,8.0,inf,CSK
Tilak Varma,PP,neutralish,29,12,0,2,14.5,inf,CSK
Tilak Varma,PP,spin,54,18,0,4,18.0,inf,CSK
Shakib Al Hasan,Death,pace,5,6,0,1,5.0,inf,
Shakib Al Hasan,Death,neutralish,52,24,0,6,13.0,inf,
Akash Madhwal,PP,pace,29,18,0,9,9.67,inf,CSK
AJ Tye,Death,neutralish,18,6,0,0,18.0,inf,
AJ Turner,PP,spin,27,18,0,5,9.0,inf,
Arshad Khan,Death,spin,18,12,0,3,9.0,inf,RR
Utkarsh Singh,PP,spin,8,6,0,2,8.0,inf,PBKS
AJ Hosein,PP,spin,109,66,0,18,9.91,inf,
Shahbaz Ahmed,PP,neutralish,55,30,0,7,11.0,inf,GT
Akash Vasisht,PP,neutralish,33,18,0,4,11.0,inf,DC
V Nigam,Middle,neutralish,56,24,0,7,14.0,inf,MI
Akash Vasisht,PP,pace,19,12,0,6,9.5,inf,DC
AJ Hosein,Middle,spin,60,42,0,15,8.57,inf,
Akash Vasisht,PP,spin,5,6,0,2,5.0,inf,DC
V Nigam,PP,neutralish,17,6,0,1,17.0,inf,MI
VR Iyer,Death,neutralish,10,6,0,2,10.0,inf,SRH
JR Hazlewood,Death,spin,73,36,0,7,12.17,inf,RR
Ravi Teja,Middle,neutralish,6,6,0,3,6.0,inf,RCB
M Theekshana,PP,neutralish,43,24,0,6,10.75,inf,
M Siddharth,PP,pace,19,12,0,4,9.5,inf,CSK
Harshit Rana,Death,spin,10,6,0,0,10.0,inf,KKR
Harsh Tyagi,PP,spin,12,12,0,6,6.0,inf,SRH
Harsh Tyagi,PP,neutralish,11,6,0,3,11.0,inf,SRH
Harsh Tyagi,Middle,neutralish,23,12,0,2,11.5,inf,SRH
M Theekshana,Middle,neutralish,10,6,0,1,10.0,inf,
Harpreet Brar,PP,pace,13,6,0,2,13.0,inf,RR
MG Erasmus,Death,spin,23,12,0,1,11.5,inf,RCB
Harpreet Brar,PP,neutralish,56,30,0,6,11.2,inf,RR
MA Starc,Middle,neutralish,12,6,0,0,12.0,inf,KKR
MA Wood,Death,pace,37,12,0,0,18.5,inf,
MA Wood,PP,spin,6,6,0,3,6.0,inf,
MADI Hemantha,PP,spin,56,30,0,4,11.2,inf,
MG Bracewell,Death,pace,12,6,0,0,12.0,inf,
Harshit Rana,PP,spin,32,12,0,3,16.0,inf,KKR
M Siddharth,Middle,pace,16,12,0,3,8.0,inf,CSK
Hemang Patel,Middle,neutralish,26,18,0,1,8.67,inf,GT
Hemang Patel,PP,neutralish,46,24,0,7,11.5,inf,GT
M Shahrukh Khan,Middle,spin,21,12,0,3,10.5,inf,
I Sharma,Death,neutralish,18,6,0,0,18.0,inf,RCB
I Sharma,Middle,pace,26,24,0,10,6.5,inf,RCB
M Prasidh Krishna,Death,spin,56,36,0,14,9.33,inf,MI
M Prasidh Krishna,Death,pace,46,18,0,1,15.33,inf,MI
I Sharma,PP,neutralish,37,18,0,5,12.33,inf,RCB
IC Porel,Death,neutralish,7,6,0,0,7.0,inf,
IC Porel,PP,neutralish,52,30,0,6,10.4,inf,
Ihsanullah,Death,pace,35,12,0,2,17.5,inf,DC
Ihsanullah,Middle,pace,42,24,0,5,10.5,inf,DC
Ihsanullah,PP,pace,16,12,0,6,8.0,inf,DC
M Markande,PP,pace,13,6,0,3,13.0,inf,SRH
M Markande,Death,pace,9,6,0,0,9.0,inf,SRH
HR Shokeen,PP,pace,15,6,0,1,15.0,inf,RR
MG Erasmus,Middle,neutralish,24,12,0,0,12.0,inf,RCB
J Anderson,Middle,spin,8,3,0,0,16.0,inf,
MR Marsh,Death,neutralish,30,12,0,0,15.0,inf,SRH
MP Stoinis,Death,neutralish,9,6,0,1,9.0,inf,KKR
Gurjapneet Singh,Death,pace,8,6,0,1,8.0,inf,
MP Stoinis,Middle,spin,80,36,0,3,13.33,inf,KKR
MP Stoinis,PP,spin,45,18,0,1,15.0,inf,KKR
GF Linde,PP,spin,136,90,0,32,9.07,inf,GT
MP Yadav,Middle,spin,18,12,0,3,9.0,inf,PBKS
MR Marsh,Middle,spin,37,18,0,0,12.33,inf,SRH
MG Erasmus,PP,neutralish,15,12,0,6,7.5,inf,RCB
MR Marsh,PP,neutralish,71,30,0,7,14.2,inf,SRH
GD Phillips,Death,neutralish,10,6,0,1,10.0,inf,GT
G Coetzee,Middle,pace,57,30,0,11,11.4,inf,
Mayank Dagar,Middle,pace,16,12,0,2,8.0,inf,LSG
Mayank Dagar,PP,neutralish,127,78,0,19,9.77,inf,LSG
Fazalhaq Farooqi,PP,spin,37,24,0,5,9.25,inf,CSK
MM Sharma,PP,spin,14,12,0,4,7.0,inf,
MM Sharma,PP,pace,11,6,0,0,11.0,inf,
MM Sharma,Death,spin,17,6,0,0,17.0,inf,
MM Sharma,Death,pace,83,36,0,6,13.83,inf,
MM Ali,Death,spin,20,12,0,3,10.0,inf,
MK Lomror,PP,spin,13,6,0,2,13.0,inf,SRH
MJ Suthar,Death,spin,13,6,0,1,13.0,inf,
MJ Santner,Death,pace,24,18,0,4,8.0,inf,KKR
MJ Santner,Death,neutralish,20,12,0,5,10.0,inf,KKR
MJ Owen,Middle,spin,5,6,0,3,5.0,inf,DC
HJ Manenti,Middle,pace,7,6,0,2,7.0,inf,PBKS
MJ Owen,Middle,neutralish,15,12,0,1,7.5,inf,DC
HR Shokeen,Death,pace,18,6,0,0,18.0,inf,RR
HR Shokeen,Death,spin,4,1,0,0,24.0,inf,RR
MJ Henry,PP,neutralish,37,12,0,0,18.5,inf,
MJ Henry,Middle,neutralish,16,12,0,6,8.0,inf,
HR Shokeen,Middle,pace,14,6,0,0,14.0,inf,RR
M Jansen,PP,spin,15,6,0,0,15.0,inf,SRH
M Jansen,PP,neutralish,50,24,0,3,12.5,inf,SRH
Mohammad Ghazanfar,Middle,pace,7,6,0,0,7.0,inf,SRH
KH Pandya,Death,neutralish,31,12,0,0,15.5,inf,SRH
KA Maharaj,Middle,neutralish,6,6,0,2,6.0,inf,SRH
JJ Smit,Death,pace,24,12,0,3,12.0,inf,PBKS
JJ Bumrah,Death,spin,75,48,0,6,9.38,inf,DC
KA Pollard,PP,neutralish,20,12,0,4,10.0,inf,CSK
KA Pollard,PP,spin,32,12,0,1,16.0,inf,CSK
JG Bethell,PP,neutralish,22,6,0,1,22.0,inf,LSG
JG Bethell,Death,neutralish,3,2,0,0,9.0,inf,LSG
JD Unadkat,PP,spin,13,12,0,3,6.5,inf,
KH Pandya,PP,pace,40,18,0,3,13.33,inf,SRH
KK Ahmed,Death,neutralish,28,12,0,2,14.0,inf,RR
KK Ahmed,Middle,neutralish,67,30,0,8,13.4,inf,RR
JDS Neesham,Middle,neutralish,13,6,0,0,13.0,inf,DC
KR Sen,Middle,pace,16,12,0,4,8.0,inf,LSG
JDS Neesham,Death,pace,36,24,0,8,9.0,inf,DC
KA Maharaj,Death,neutralish,21,6,0,0,21.0,inf,SRH
K Rabada,PP,neutralish,30,18,0,3,10.0,inf,
K Rabada,Middle,spin,15,12,0,5,7.5,inf,
K Rabada,Middle,pace,57,42,0,10,8.14,inf,
K Rabada,Middle,neutralish,13,6,0,0,13.0,inf,
K Rabada,Death,spin,13,6,0,1,13.0,inf,
K Kartikeya,PP,spin,11,12,0,6,5.5,inf,GT
JN Loftie-Eaton,Death,spin,13,12,0,4,6.5,inf,RR
K Kartikeya,Death,spin,23,11,0,3,12.55,inf,GT
K Gowtham,Middle,pace,25,18,0,4,8.33,inf,
Jay Gohil,Middle,pace,39,18,0,1,13.0,inf,LSG
Jaskaran Singh,PP,pace,45,24,0,8,11.25,inf,KKR
Jagjit Singh,PP,spin,21,12,0,2,10.5,inf,SRH
JN Loftie-Eaton,PP,spin,13,12,0,8,6.5,inf,RR
Jagjit Singh,Middle,neutralish,13,6,0,1,13.0,inf,SRH
Jagjit Singh,Death,spin,17,6,0,0,17.0,inf,SRH
JO Holder,PP,pace,16,6,0,0,16.0,inf,
JDS Neesham,Death,neutralish,20,6,0,0,20.0,inf,DC
JD Unadkat,PP,neutralish,47,18,0,0,15.67,inf,
M Jansen,Middle,spin,18,12,0,4,9.0,inf,SRH
J Overton,Death,pace,23,12,0,1,11.5,inf,
J Overton,PP,spin,10,6,0,0,10.0,inf,
LS Livingstone,Death,pace,47,29,0,7,9.72,inf,KKR
LS Livingstone,Middle,pace,39,18,0,3,13.0,inf,KKR
J Overton,Middle,pace,9,6,0,0,9.0,inf,
LS Livingstone,PP,neutralish,17,12,0,4,8.5,inf,KKR
LS Livingstone,PP,pace,11,6,0,0,11.0,inf,KKR
Lalit Yadav,Middle,spin,8,6,0,1,8.0,inf,
Karan Lal,PP,pace,18,12,0,5,9.0,inf,RR
Lalit Yadav,PP,spin,15,12,0,3,7.5,inf,
M Jansen,Death,neutralish,15,12,0,4,7.5,inf,SRH
J Anderson,PP,spin,17,6,0,1,17.0,inf,
M Jansen,Death,spin,11,6,0,1,11.0,inf,SRH
M Jansen,Middle,neutralish,38,18,0,3,12.67,inf,SRH
J Anderson,PP,neutralish,24,12,0,1,12.0,inf,
J Suchith,PP,pace,11,6,0,1,11.0,inf,
LH Ferguson,PP,neutralish,51,24,0,6,12.75,inf,
LH Ferguson,Middle,neutralish,19,12,0,3,9.5,inf,
LH Ferguson,Death,pace,21,12,0,2,10.5,inf,
LH Ferguson,Death,neutralish,26,9,0,1,17.33,inf,
LA Dawson,PP,spin,17,6,0,0,17.0,inf,
LA Dawson,PP,neutralish,6,6,0,1,6.0,inf,
LA Dawson,Death,spin,14,6,0,1,14.0,inf,
J Suchith,PP,spin,75,48,0,13,9.38,inf,
Kuldeep Yadav,Death,pace,53,30,0,4,10.6,inf,SRH
Khushdil Shah,Middle,spin,31,30,0,9,6.2,inf,DC
Khushdil Shah,Death,spin,27,12,0,2,13.5,inf,DC
Khrievitso Kense,PP,neutralish,13,6,0,0,13.0,inf,RCB
JD Unadkat,Middle,neutralish,12,6,0,0,12.0,inf,
Khrievitso Kense,Death,spin,18,6,0,0,18.0,inf,RCB
Kartik Tyagi,Death,spin,26,12,0,0,13.0,inf,
Karan Lal,PP,spin,22,12,0,4,11.0,inf,RR
Fazalhaq Farooqi,Death,spin,11,9,0,1,7.33,inf,CSK
Mohammad Ghazanfar,PP,neutralish,45,18,0,3,15.0,inf,SRH
B Kumar,PP,neutralish,45,30,0,12,9.0,inf,KKR
CH Morris,PP,neutralish,36,12,0,1,18.0,inf,DC
R Parag,Death,spin,38,24,0,2,9.5,inf,GT
R Parag,Middle,pace,64,36,0,3,10.67,inf,GT
CH Morris,PP,spin,15,6,0,2,15.0,inf,DC
R Parag,PP,spin,10,6,0,2,10.0,inf,GT
R Ravindra,Death,spin,30,12,0,1,15.0,inf,
R Ravindra,Middle,spin,10,6,0,1,10.0,inf,
CH Morris,Middle,neutralish,21,12,0,1,10.5,inf,DC
RA Bawa,Middle,spin,18,12,0,1,9.0,inf,SRH
CH Morris,Death,pace,40,18,0,3,13.33,inf,DC
CH Gayle,PP,spin,14,6,0,1,14.0,inf,CSK
R Sai Kishore,PP,pace,58,30,0,5,11.6,inf,MI
R Tewatia,Death,spin,32,18,0,5,10.67,inf,KKR
C Green,PP,pace,90,42,0,9,12.86,inf,KKR
C Green,PP,neutralish,18,6,0,2,18.0,inf,KKR
R Parag,Death,neutralish,8,6,0,1,8.0,inf,GT
CJ Green,Middle,spin,15,12,0,3,7.5,inf,
R Ashwin,PP,neutralish,25,18,0,4,8.33,inf,KKR
CJ Green,PP,spin,6,12,0,6,3.0,inf,
CV Varun,Death,neutralish,5,6,0,3,5.0,inf,PBKS
R Ashwin,Death,neutralish,29,12,0,0,14.5,inf,KKR
Pulkit Narang,Death,spin,26,12,0,1,13.0,inf,RR
Pankaj Jaswal,PP,pace,14,6,0,2,14.0,inf,
Pankaj Jaswal,Middle,pace,22,12,0,4,11.0,inf,
PWH de Silva,PP,pace,21,12,0,2,10.5,inf,RCB
CV Varun,PP,pace,27,12,0,1,13.5,inf,PBKS
Cheepurapalli Stephen,Death,neutralish,10,6,0,1,10.0,inf,CSK
Cheepurapalli Stephen,Death,pace,19,6,0,0,19.0,inf,CSK
Cheepurapalli Stephen,Death,spin,36,18,0,0,12.0,inf,CSK
Cheepurapalli Stephen,Middle,neutralish,43,24,0,4,10.75,inf,CSK
PP Chawla,PP,pace,26,12,0,3,13.0,inf,
PP Chawla,PP,neutralish,9,6,0,0,9.0,inf,
RA Bawa,Death,neutralish,17,6,0,1,17.0,inf,SRH
RA Bawa,PP,neutralish,18,12,0,5,9.0,inf,SRH
PP Chawla,Middle,pace,5,6,0,2,5.0,inf,
Rasikh Salam,Death,spin,34,20,0,5,10.2,inf,GT
BJ McMullen,Middle,spin,8,6,0,0,8.0,inf,RR
BJ McMullen,Middle,neutralish,48,30,0,5,9.6,inf,RR
BJ McMullen,Death,neutralish,12,6,0,1,12.0,inf,RR
BJ Dwarshuis,Middle,pace,22,12,0,0,11.0,inf,
BJ Dwarshuis,Death,pace,13,6,0,0,13.0,inf,
BA Stokes,PP,spin,25,6,0,0,25.0,inf,
BA Stokes,Middle,neutralish,78,30,0,5,15.6,inf,
C Green,Death,spin,21,6,0,1,21.0,inf,KKR
Rasikh Salam,PP,neutralish,22,12,0,3,11.0,inf,GT
BA Stokes,Death,spin,31,18,0,4,10.33,inf,
Rasikh Salam,PP,spin,11,6,0,0,11.0,inf,GT
Ravi Bishnoi,Middle,neutralish,54,30,0,3,10.8,inf,LSG
BA Stokes,Death,neutralish,33,18,0,2,11.0,inf,
Ravi Bishnoi,PP,neutralish,79,30,0,4,15.8,inf,LSG
BJ McMullen,PP,neutralish,46,24,0,5,11.5,inf,RR
Ramandeep Singh,PP,pace,9,6,0,3,9.0,inf,LSG
