striker,opposition,runs,balls,outs,avg,SR
A Badoni,MI,8,6,1,8.0,133.33
DA Warner,KKR,8,4,1,8.0,200.0
SM Curran,DC,8,12,1,8.0,66.67
Mayank Dagar,PBKS,8,10,0,,80.0
RK Bhui,PBKS,8,8,1,8.0,100.0
MK Lomror,PBKS,8,4,1,8.0,200.0
MM Sharma,GT,8,3,0,,266.67
T Stubbs,RCB,8,6,1,8.0,133.33
Kuldeep Yadav,RCB,8,7,1,8.0,114.29
RR Rossouw,GT,8,10,1,8.0,80.0
Akash Vasisht,DC,8,6,2,4.0,133.33
Suryansh Shedge,DC,7,3,1,7.0,233.33
K Kartikeya,PBKS,7,2,0,,350.0
LH Ferguson,GT,7,8,1,7.0,87.5
Jay Gohil,DC,7,4,1,7.0,175.0
Swapnil Singh,LSG,7,6,1,7.0,116.67
Atharva Ankolekar,RR,7,4,1,7.0,175.0
TA Boult,RCB,7,3,0,,233.33
M Pathirana,RR,7,4,1,7.0,175.0
JR Hazlewood,PBKS,7,9,1,7.0,77.78
K Rabada,CSK,7,14,0,,50.0
Bal Krishna,GT,7,6,0,,116.67
Swapnil Singh,SRH,7,2,0,,350.0
SPD Smith,MI,7,10,1,7.0,70.0
M Siddharth,PBKS,7,7,3,2.33,100.0
PN Mankad,CSK,7,9,1,7.0,77.78
Yudhvir Singh,DC,7,5,0,,140.0
HV Patel,DC,7,6,1,7.0,116.67
R Ravindra,PBKS,7,7,1,7.0,100.0
MS Dhoni,RCB,7,10,0,,70.0
Salman Nizar,CSK,7,11,1,7.0,63.64
Yuvraj Chaudhary,MI,7,3,1,7.0,233.33
M Theekshana,PBKS,7,7,0,,100.0
Ravi Bishnoi,CSK,7,7,2,3.5,100.0
MA Starc,MI,7,11,0,,63.64
A Manohar,SRH,7,7,1,7.0,100.0
NT Ellis,PBKS,7,8,1,7.0,87.5
CV Varun,SRH,7,14,2,3.5,50.0
TH David,CSK,6,2,1,6.0,300.0
DA Warner,GT,6,6,1,6.0,100.0
Jagjit Singh,RR,6,3,0,,200.0
CV Varun,RR,6,8,0,,75.0
MA Starc,LSG,6,6,2,3.0,100.0
MG Bracewell,RR,6,5,1,6.0,120.0
Noor Ahmad,MI,6,1,0,,600.0
JJ Bumrah,PBKS,6,4,1,6.0,150.0
MADI Hemantha,SRH,6,1,0,,600.0
SO Hetmyer,PBKS,6,6,1,6.0,100.0
T Natarajan,SRH,6,3,1,6.0,200.0
T Natarajan,RR,6,6,1,6.0,100.0
DA Miller,GT,6,7,2,3.0,85.71
DS Rathi,DC,6,4,1,6.0,150.0
JG Bethell,PBKS,6,5,1,6.0,120.0
A Nortje,RR,6,4,0,,150.0
KK Ahmed,KKR,6,7,1,6.0,85.71
PP Chawla,PBKS,6,7,1,6.0,85.71
PN Mankad,RCB,6,5,1,6.0,120.0
HC Brook,MI,6,2,1,6.0,300.0
Priyansh Arya,MI,6,4,1,6.0,150.0
KD Karthik,LSG,6,5,1,6.0,120.0
KH Pandya,LSG,6,4,0,,150.0
R Tewatia,KKR,6,5,2,3.0,120.0
Mohammad Nabi,PBKS,6,6,1,6.0,100.0
Shahbaz Ahmed,RR,6,10,2,3.0,60.0
R Tewatia,GT,6,4,0,,150.0
Suryansh Shedge,RCB,6,9,1,6.0,66.67
Tanush Kotian,MI,6,3,1,6.0,200.0
MR Marsh,RR,6,10,1,6.0,60.0
Rasikh Salam,SRH,6,2,1,6.0,300.0
AS Roy,LSG,6,10,2,3.0,60.0
Mohammed Siraj,GT,6,3,0,,200.0
Mohammad Nabi,SRH,6,4,0,,150.0
Rashid Khan,RCB,6,9,1,6.0,66.67
R Sai Kishore,PBKS,6,3,1,6.0,200.0
MR Marsh,LSG,6,5,0,,120.0
KK Ahmed,MI,6,1,0,,600.0
J Anderson,CSK,6,4,1,6.0,150.0
AJ Turner,LSG,6,5,0,,120.0
R Ashwin,GT,6,9,0,,66.67
HC Brook,SRH,5,4,1,5.0,125.0
Kartik Sharma,MI,5,5,1,5.0,100.0
Arshad Khan,GT,5,5,1,5.0,100.0
RD Chahar,PBKS,5,3,1,5.0,166.67
KH Pandya,CSK,5,10,2,2.5,50.0
A Badoni,PBKS,5,7,2,2.5,71.43
Sami Sohail,KKR,5,5,1,5.0,100.0
Avesh Khan,MI,5,15,2,2.5,33.33
Salman Nizar,PBKS,5,7,0,,71.43
JL Smith,PBKS,5,5,1,5.0,100.0
D Brevis,RCB,5,7,1,5.0,71.43
KK Ahmed,LSG,5,7,1,5.0,71.43
VG Arora,RR,5,6,0,,83.33
Arshad Khan,RR,5,2,0,,250.0
Yash Thakur,SRH,5,4,0,,125.0
Mohammad Ghazanfar,RCB,5,5,0,,100.0
PWH de Silva,RCB,5,3,1,5.0,166.67
Jay Gohil,SRH,5,6,1,5.0,83.33
RD Chahar,RR,5,4,0,,125.0
RD Chahar,CSK,5,3,0,,166.67
RA Tripathi,PBKS,5,5,1,5.0,100.0
Sanvir Singh,CSK,5,6,1,5.0,83.33
M Markande,LSG,5,3,1,5.0,166.67
Abdul Samad,DC,5,5,1,5.0,100.0
AV Wankhade,RR,5,8,1,5.0,62.5
Jagjit Singh,MI,5,5,1,5.0,100.0
G Coetzee,PBKS,5,6,0,,83.33
SM Curran,MI,5,7,2,2.5,71.43
Yash Thakur,CSK,5,13,1,5.0,38.46
PWH de Silva,KKR,5,2,0,,250.0
JR Hazlewood,RCB,5,5,0,,100.0
GF Linde,LSG,5,2,0,,250.0
MG Bracewell,MI,5,3,1,5.0,166.67
WL Madsen,CSK,5,2,0,,250.0
JD Unadkat,CSK,5,3,0,,166.67
Suyash Sharma,RR,5,7,0,,71.43
V Puthur,SRH,4,2,0,,200.0
Yash Thakur,RR,4,8,0,,50.0
Umran Malik,RR,4,2,0,,200.0
Tanush Kotian,RR,4,3,2,2.0,133.33
Swapnil Singh,PBKS,4,9,2,2.0,44.44
T Natarajan,MI,4,3,1,4.0,133.33
Tanush Kotian,KKR,4,5,1,4.0,80.0
Sami Sohail,PBKS,4,1,0,,400.0
MM Ali,LSG,4,4,1,4.0,100.0
Yuvraj Chaudhary,SRH,4,2,1,4.0,200.0
Arshdeep Singh,RCB,4,5,0,,80.0
Akash Vasisht,SRH,4,2,1,4.0,200.0
RA Jadeja,SRH,4,2,0,,200.0
FH Allen,LSG,4,5,2,2.0,80.0
MJ Santner,CSK,4,5,1,4.0,80.0
RK Bhui,GT,4,7,2,2.0,57.14
Fazalhaq Farooqi,SRH,4,6,1,4.0,66.67
HR Shokeen,PBKS,4,7,0,,57.14
Arshad Khan,KKR,4,2,1,4.0,200.0
M Siddharth,RR,4,2,1,4.0,200.0
DA Warner,CSK,4,8,1,4.0,50.0
Harshit Rana,LSG,4,8,0,,50.0
AK Markram,CSK,4,5,2,2.0,80.0
D Padikkal,GT,4,2,1,4.0,200.0
Mohammed Shami,CSK,4,5,2,2.0,80.0
PWH de Silva,MI,4,6,1,4.0,66.67
KA Maharaj,LSG,4,3,0,,133.33
Salman Nizar,DC,4,2,1,4.0,200.0
Khrievitso Kense,LSG,4,6,0,,66.67
A Mishra,PBKS,4,2,1,4.0,200.0
A Nortje,DC,4,1,0,,400.0
N Jagadeesan,GT,4,2,1,4.0,200.0
KH Pandya,PBKS,4,6,2,2.0,66.67
R Tewatia,RCB,4,6,1,4.0,66.67
Arshdeep Singh,RR,4,5,0,,80.0
A Zampa,PBKS,4,3,1,4.0,133.33
M Markande,RR,4,2,0,,200.0
SH Johnson,CSK,4,4,0,,100.0
DA Warner,SRH,3,3,0,,100.0
MP Yadav,CSK,3,5,2,1.5,60.0
CJ Jordan,CSK,3,4,0,,75.0
Mohammad Ghazanfar,PBKS,3,6,0,,50.0
Mustafizur Rahman,MI,3,6,1,3.0,50.0
HS Desai,RCB,3,4,1,3.0,75.0
DAJ Bracewell,GT,3,5,1,3.0,60.0
GF Linde,GT,3,3,1,3.0,100.0
Avesh Khan,CSK,3,5,1,3.0,60.0
Harsh Dubey,LSG,3,3,0,,100.0
Harshit Rana,MI,3,1,0,,300.0
M Pathirana,LSG,3,7,0,,42.86
TA Boult,PBKS,3,6,0,,50.0
J Overton,DC,3,5,0,,60.0
JC Archer,GT,3,4,0,,75.0
Jagjit Singh,CSK,3,7,1,3.0,42.86
K Gowtham,GT,3,6,1,3.0,50.0
KD Karthik,SRH,3,10,2,1.5,30.0
KK Ahmed,SRH,3,4,1,3.0,75.0
Azmatullah Omarzai,DC,3,4,1,3.0,75.0
Tanush Kotian,GT,3,2,0,,150.0
R Ashwin,RCB,3,5,1,3.0,60.0
SN Thakur,RCB,3,4,1,3.0,75.0
Noor Ahmad,LSG,3,8,2,1.5,37.5
AM Rahane,KKR,3,2,1,3.0,150.0
Arshdeep Singh,KKR,3,14,1,3.0,21.43
Ravi Bishnoi,GT,3,8,1,3.0,37.5
RR Pant,DC,3,4,1,3.0,75.0
RA Tripathi,RR,3,5,1,3.0,60.0
Sandeep Sharma,LSG,2,1,0,,200.0
Kuldeep Yadav,LSG,2,5,1,2.0,40.0
A Manohar,LSG,2,2,0,,100.0
RS Hangargekar,MI,2,2,1,2.0,100.0
M Theekshana,DC,2,7,0,,28.57
HV Patel,MI,2,9,3,0.67,22.22
Ramandeep Singh,MI,2,4,2,1.0,50.0
Harshit Rana,KKR,2,6,1,2.0,33.33
A Mhatre,SRH,2,3,1,2.0,66.67
M Prasidh Krishna,RCB,2,3,0,,66.67
Sandeep Sharma,GT,2,5,0,,40.0
AJ Tye,KKR,2,5,0,,40.0
Imran Tahir,LSG,2,5,1,2.0,40.0
Shahbaz Ahmed,RCB,2,2,0,,100.0
Kuldeep Yadav,CSK,2,7,2,1.0,28.57
M Pathirana,KKR,2,3,1,2.0,66.67
KK Ahmed,PBKS,2,3,1,2.0,66.67
J Suchith,DC,2,3,1,2.0,66.67
JG Bethell,CSK,2,4,1,2.0,50.0
JJ Bumrah,LSG,2,2,0,,100.0
Yash Thakur,MI,2,3,1,2.0,66.67
LH Ferguson,MI,2,6,0,,33.33
Kuldeep Yadav,MI,2,6,1,2.0,33.33
Noor Ahmad,KKR,2,1,0,,200.0
GF Linde,MI,2,3,1,2.0,66.67
D Ferreira,CSK,2,3,1,2.0,66.67
Swapnil Singh,GT,2,3,1,2.0,66.67
PJ Cummins,KKR,2,3,1,2.0,66.67
KV Sharma,DC,2,5,1,2.0,40.0
Cheepurapalli Stephen,SRH,2,4,1,2.0,50.0
D Brevis,SRH,2,3,1,2.0,66.67
Mohammad Nabi,RCB,2,5,1,2.0,40.0
Arshdeep Singh,MI,2,6,1,2.0,33.33
Mohammad Ghazanfar,KKR,2,1,0,,200.0
CV Varun,CSK,2,5,1,2.0,40.0
R Shepherd,MI,2,3,1,2.0,66.67
Abdul Samad,PBKS,2,3,1,2.0,66.67
RG Sharma,PBKS,2,2,0,,100.0
R Tewatia,RR,2,3,2,1.0,66.67
VG Arora,LSG,1,1,0,,100.0
FH Allen,CSK,1,2,1,1.0,50.0
Ashwani Kumar,MI,1,2,1,1.0,50.0
B Kumar,GT,1,3,0,,33.33
C Sakariya,LSG,1,1,0,,100.0
Ashwani Kumar,KKR,1,1,0,,100.0
C Sakariya,MI,1,1,0,,100.0
CH Gayle,GT,1,2,1,1.0,50.0
Aryan Juyal,PBKS,1,7,1,1.0,14.29
WG Jacks,CSK,1,2,1,1.0,50.0
A Zampa,KKR,1,2,0,,50.0
YV Dhull,GT,1,6,1,1.0,16.67
AS Roy,RR,1,1,0,,100.0
CV Varun,RCB,1,3,0,,33.33
Arshdeep Singh,GT,1,1,0,,100.0
JJ Bumrah,KKR,1,5,3,0.33,20.0
A Zampa,RCB,1,2,0,,50.0
YS Chahal,MI,1,1,0,,100.0
AS Roy,SRH,1,2,1,1.0,50.0
YS Chahal,CSK,1,2,1,1.0,50.0
D Ferreira,DC,1,3,1,1.0,33.33
AS Roy,CSK,1,1,0,,100.0
Harshit Rana,RCB,1,1,0,,100.0
D Ferreira,GT,1,2,1,1.0,50.0
D Visser,LSG,1,2,1,1.0,50.0
Fazalhaq Farooqi,RR,1,2,1,1.0,50.0
Salman Nizar,SRH,1,4,1,1.0,25.0
Khrievitso Kense,DC,1,1,0,,100.0
SN Thakur,KKR,1,1,0,,100.0
Ravi Teja,KKR,1,5,1,1.0,20.0
Rasikh Salam,KKR,1,1,0,,100.0
MA Starc,DC,1,4,2,0.5,25.0
T Natarajan,RCB,1,2,0,,50.0
MJ Santner,RCB,1,2,1,1.0,50.0
MM Ali,PBKS,1,5,1,1.0,20.0
MM Ali,SRH,1,2,1,1.0,50.0
R Shepherd,DC,1,4,1,1.0,25.0
R Sai Kishore,LSG,1,6,2,0.5,16.67
MP Yadav,SRH,1,2,0,,50.0
MR Marsh,RCB,1,4,1,1.0,25.0
PN Mankad,LSG,1,3,1,1.0,33.33
Mohammed Siraj,RCB,1,5,1,1.0,20.0
TU Deshpande,CSK,1,2,1,1.0,50.0
Mohammed Siraj,RR,1,2,1,1.0,50.0
Mujeeb Ur Rahman,CSK,1,6,1,1.0,16.67
Mukesh Kumar,DC,1,1,0,,100.0
Naveen-ul-Haq,CSK,1,3,0,,33.33
NT Ellis,RCB,1,3,0,,33.33
M Shahrukh Khan,CSK,1,4,1,1.0,25.0
NT Ellis,CSK,1,9,1,1.0,11.11
M Jansen,SRH,1,3,1,1.0,33.33
SZ Mulani,RR,1,4,2,0.5,25.0
M Pathirana,DC,1,1,0,,100.0
SPD Smith,GT,1,4,1,1.0,25.0
M Pathirana,GT,1,2,1,1.0,50.0
Sandeep Sharma,MI,1,1,0,,100.0
Kuldeep Yadav,KKR,1,5,1,1.0,20.0
Kuldeep Yadav,GT,1,2,0,,50.0
TA Boult,GT,1,4,1,1.0,25.0
M Pathirana,MI,1,3,1,1.0,33.33
LUVNITH SISODIA,DC,1,3,1,1.0,33.33
Yudhvir Singh,RCB,0,1,0,,0.0
R Minz,CSK,0,1,1,0.0,0.0
Pardeep Yadav,RR,0,2,1,0.0,0.0
Sikandar Raza,CSK,0,1,1,0.0,0.0
SS Ghosh,KKR,0,1,0,,0.0
Arslan Khan,DC,0,1,1,0.0,0.0
Sandeep Sharma,PBKS,0,1,1,0.0,0.0
SZ Mulani,SRH,0,3,1,0.0,0.0
A Kamboj,KKR,0,2,1,0.0,0.0
Sikandar Raza,LSG,0,1,1,0.0,0.0
Noor Ahmad,PBKS,0,5,0,,0.0
Atharva Taide,SRH,0,1,1,0.0,0.0
A Badoni,SRH,0,1,1,0.0,0.0
B Kumar,DC,0,8,3,0.0,0.0
A Manohar,CSK,0,1,1,0.0,0.0
R Shepherd,LSG,0,1,1,0.0,0.0
A Nortje,GT,0,2,1,0.0,0.0
A Zampa,CSK,0,2,0,,0.0
SH Johnson,MI,0,1,1,0.0,0.0
Ravi Teja,MI,0,4,0,,0.0
AB de Villiers,KKR,0,1,1,0.0,0.0
YS Chahal,GT,0,4,1,0.0,0.0
YS Chahal,DC,0,1,1,0.0,0.0
Yash Dayal,KKR,0,1,1,0.0,0.0
Rasikh Salam,RCB,0,1,0,,0.0
B Kumar,SRH,0,2,1,0.0,0.0
Rahul Singh,RCB,0,1,1,0.0,0.0
RR Rossouw,KKR,0,3,1,0.0,0.0
RK Singh,RCB,0,1,1,0.0,0.0
SO Hetmyer,SRH,0,1,1,0.0,0.0
R Tewatia,MI,0,1,1,0.0,0.0
Abdul Samad,RCB,0,1,1,0.0,0.0
Akash Deep,RR,0,1,0,,0.0
R Shepherd,SRH,0,3,1,0.0,0.0
Anmolpreet Singh,DC,0,1,1,0.0,0.0
Rasikh Salam,CSK,0,2,0,,0.0
TU Deshpande,LSG,0,2,1,0.0,0.0
C Sakariya,KKR,0,1,1,0.0,0.0
N Rana,KKR,0,1,1,0.0,0.0
HS Desai,MI,0,1,1,0.0,0.0
M Theekshana,RCB,0,1,0,,0.0
HV Patel,KKR,0,1,1,0.0,0.0
M Theekshana,CSK,0,1,1,0.0,0.0
HV Patel,RCB,0,4,1,0.0,0.0
M Shahrukh Khan,KKR,0,3,1,0.0,0.0
M Prasidh Krishna,SRH,0,3,1,0.0,0.0
M Pathirana,SRH,0,4,1,0.0,0.0
Imran Tahir,RR,0,3,1,0.0,0.0
J Fraser-McGurk,PBKS,0,1,1,0.0,0.0
M Pathirana,CSK,0,1,1,0.0,0.0
JC Archer,LSG,0,1,1,0.0,0.0
JC Archer,RR,0,1,1,0.0,0.0
M Markande,GT,0,1,1,0.0,0.0
LUVNITH SISODIA,KKR,0,1,1,0.0,0.0
JJ Bumrah,MI,0,1,1,0.0,0.0
JR Hazlewood,CSK,0,3,2,0.0,0.0
LH Ferguson,LSG,0,2,1,0.0,0.0
K L Shrijith,PBKS,0,1,1,0.0,0.0
LG Pretorius,MI,0,1,1,0.0,0.0
Tanush Kotian,RCB,0,1,1,0.0,0.0
MA Agarwal,RR,0,1,1,0.0,0.0
GF Linde,PBKS,0,4,1,0.0,0.0
MA Starc,RR,0,4,1,0.0,0.0
MR Marsh,CSK,0,1,1,0.0,0.0
Mustafizur Rahman,SRH,0,1,1,0.0,0.0
Mukesh Kumar,SRH,0,1,1,0.0,0.0
Mukesh Kumar,PBKS,0,4,1,0.0,0.0
CJ Jordan,DC,0,3,1,0.0,0.0
Mujeeb Ur Rahman,SRH,0,1,1,0.0,0.0
Mohammed Shami,PBKS,0,1,1,0.0,0.0
Mohammad Ghazanfar,SRH,0,4,1,0.0,0.0
Mayank Dagar,GT,0,1,0,,0.0
D Padikkal,CSK,0,1,1,0.0,0.0
MP Yadav,RCB,0,1,1,0.0,0.0
MA Starc,SRH,0,2,1,0.0,0.0
VG Arora,DC,0,1,1,0.0,0.0
DAJ Bracewell,KKR,0,1,1,0.0,0.0
DG Nalkande,LSG,0,3,1,0.0,0.0
DS Airee,LSG,0,1,1,0.0,0.0
DS Airee,SRH,0,1,1,0.0,0.0
DS Rathi,RCB,0,1,1,0.0,0.0
MJ Suthar,PBKS,0,1,0,,0.0
Fazalhaq Farooqi,PBKS,0,1,1,0.0,0.0
V Shankar,KKR,0,3,1,0.0,0.0
D Brevis,CSK,0,1,1,0.0,0.0
